59,60,sorbonne university,FR,France,XL,FC,VH,A,89,48,53,151,43,361,85,93,35,451,50,297,100,4,40,182,76,171=,72
5,3,stanford university,US,United States,L,FC,VH,B,100,5,100,3,100,11,100,8,100,78,51,284,96,44,100,2,94,63,98
118,153,stockholm university,SE,Sweden,L,CO,VH,A,54,145,15,543,28,543,72,138,82,223,84,147,95,51,76,57,75,175=,57
37,49,technical university of munich,DE,Germany,XL,FO,VH,A,84,59,98,19,89,89,60,210,77,243,97,71,87,103,25,330,85,120=,80
60,40,the hong kong university of science and technology,HK,Hong Kong SAR,M,CO,VH,A,83,63,43,216,54,289,99,20,100,19,91,111,5,701+,50,131,31,432=,71
45,56,the london school of economics and political science (lse),UK,United Kingdom,M,SP,VH,A,68,98,96,32,40,401,80,110,100,35,100,10,32,440,99,16,98,28,77
89,109,the university of adelaide,AU,Australia,L,FC,VH,A,54,144,37,267,16,701+,87,83,100,69,100,40,79,154,38,191,96,42,62
68,87,the university of auckland,NZ,New Zealand,L,FC,VH,A,82,65,41,231,19,687,62,198,100,68,92,108,64,220,94,28,100,9,68
22,15,the university of edinburgh,UK,United Kingdom,XL,FC,VH,A,98,25,97,26,72,176,59,216,99,100,100,33,100,12,48,141,100,6,86
153,163,the university of exeter,UK,United Kingdom,L,FC,VH,A,43,199,51,161,27,555,43,308,92,174,76,180,90,85,20,424,95,57,51
32,28,the university of manchester,UK,United Kingdom,XL,FC,VH,A,95,33,98,21,54,288,49,274,94,160,99,44,100,10,72,66,92,75=,82
14,33,the university of melbourne,AU,Australia,XL,FC,VH,A,98,21,92,45,15,701+,92,69,93,166,100,36,97,30,93,31,90,92=,88
28,23,the university of tokyo,JP,Japan,L,FC,VH,A,100,7,100,9,90,84,70,148,10,701+,29,427,70,196,100,11,100,5,84
67,64,the university of warwick,UK,United Kingdom,L,FC,VH,A,71,86,88,56,37,420,49,275,98,109,99,47,90,87,47,148,63,239=,69
72,90,the university of western australia,AU,Australia,L,FC,VH,A,56,138,45,200,17,701+,99,23,100,29,100,34,90,83,66,82,70,204=,67
113,79,tohoku university,JP,Japan,L,FC,VH,A,72,85,84,61,99,41,30,436,14,683,14,647,28,474,17,486,75,177=,58
25,14,tsinghua university,CN,China (Mainland),XL,FC,VH,A,99,16,97,27,94,67,99,22,9,701+,16,603,48,328,82,47,56,271=,85
9,8,ucl,UK,United Kingdom,XL,FC,VH,A,100,13,98,22,98,43,74,131,99,96,100,15,100,2,52,126,93,74,92
158,123,universiti putra malaysia (upm),MY,Malaysia,L,FC,VH,A,59,129,68,113,68,194,23,519,44,381,97,72,45,341,10,701+,23,511=,50
111,110,university of alberta,CA,Canada,XL,FC,VH,A,57,135,37,266,43,370,59,213,98,116,73,193,92,68,46,152,76,170,58
53,58,university of amsterdam,NL,Netherlands,XL,FC,VH,A,84,62,44,203,21,641,98,33,92,168,80,163,97,28,50,133,65,226=,73
84,91,university of birmingham,UK,United Kingdom,XL,FC,VH,A,68,99,76,81,41,379,38,364,92,169,84,148,96,41,30,270,80,146=,63
182,242,university of calgary,CA,Canada,XL,FC,VH,A,38,229,61,129,20,668,42,330,83,222,62,241,62,232,39,188,92,82,48
10,27,"university of california, berkeley (ucb)",US,United States,XL,FC,VH,A,100,6,100,6,21,656,100,7,92,172,64,235,92,66,99,15,100,1,90
29,44,"university of california, los angeles (ucla)",US,United States,XL,FC,VH,A,100,8,100,8,37,435,85,96,43,386,25,477,90,86,97,20,91,86,84
62,53,"university of california, san diego (ucsd)",US,United States,XL,FC,VH,A,89,47,50,167,50,313,74,130,68,285,51,282,95,55,18,471,73,189=,70
163,149,"university of california, santa barbara (ucsb)",US,United States,L,CO,VH,A,55,142,19,470,10,701+,97,41,70,274,22,522,44,352,10,701+,56,271=,50
2,2,university of cambridge,UK,United Kingdom,L,FC,VH,A,100,3,100,4,100,14,92,68,100,64,96,85,100,7,100,6,97,33=,99
11,10,university of chicago,US,United States,L,FC,VH,B,99,17,95,38,93,72,79,122,81,225,84,145,61,236,98,17,82,137=,90
168,188,university of florida,US,United States,XL,FC,VH,A,48,171,59,137,71,180,27,467,19,604,11,699,98,24,39,184,96,48,49
139,145,university of groningen,NL,Netherlands,XL,FC,VH,A,53,148,30,326,51,304,43,311,94,159,86,140,92,67,22,372,68,214,53
64,85,university of illinois at urbana-champaign,US,United States,XL,FC,VH,A,85,54,71,100,8,701+,87,86,11,701+,49,303,76,164,66,84,84,128=,69
75,86,university of leeds,UK,United Kingdom,XL,FC,VH,A,70,89,77,77,37,421,42,320,85,208,90,118,99,16,38,193,91,88,66
